Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Dmg.binary
Fatal(3),Destroyed,Airplane,Swearingen,SA226-T(B),No,2.0,Turbo Prop,Part 91: General Aviation,3.0,0.0,0.0,0.0,1
Incident,Minor,Airplane,De Havilland,DHC-6-300,No,2.0,Turbo Prop,Part 91: General Aviation,0.0,0.0,0.0,1.0,0
Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,182P,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,177RG,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Beachner,QUICK SILVER,Yes,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,182E,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,150H,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,340A,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Canadair,CL-44D4,No,4.0,Turbo Prop,Part 129: Foreign,0.0,0.0,0.0,6.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,2.0,1
Incident,Minor,Airplane,Piper,PA-31-350,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,0
Fatal(2),Destroyed,Airplane,Beech,58,No,2.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
Fatal(3),Destroyed,Airplane,Cessna,182N,No,1.0,Reciprocating,Part 91: General Aviation,3.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(1),Substantial,Airplane,Cessna,210,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Fatal(4),Destroyed,Airplane,Cessna,P210N,No,1.0,Reciprocating,Part 91: General Aviation,4.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Cessna,402A,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,1.0,0.0,0.0,0.0,1
Non-Fatal,Destroyed,Airplane,Douglas,DC-3,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,2.0,0.0,1
Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,0.0,1.0,2.0,0.0,1
Fatal(1),Destroyed,Airplane,Piper,PA-28-235,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Grumman,AA-1,Yes,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Non-Fatal,Destroyed,Airplane,Piper,PA-32,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,3.0,0.0,1
Non-Fatal,Destroyed,Airplane,Cessna,207,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Mooney,M-20,Yes,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,301,No,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,1
Fatal(2),Destroyed,Airplane,Sons Mustang,II,Yes,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Fatal(1),Destroyed,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,1.0,1.0,0.0,0.0,1
Fatal(2),Destroyed,Airplane,Mooney,M20C,No,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,4.0,0.0,1
Non-Fatal,Destroyed,Airplane,Grumman,G-164A,No,1.0,Reciprocating,Part 137: Agricultural,0.0,0.0,0.0,1.0,1
Fatal(2),Destroyed,Airplane,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Part 121: Air Carrier,2.0,4.0,24.0,182.0,1
Fatal(1),Destroyed,Airplane,Beech,A23A,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-32-300,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,150M,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Fatal(2),Substantial,Airplane,Piper,PA-28-235,No,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,4.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,150H,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,1
Fatal(7),Destroyed,Airplane,Robertson,C-402B,No,2.0,Reciprocating,Part 91: General Aviation,7.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,Cessna,172RG,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,177,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Fatal(2),Destroyed,Airplane,Cessna,182M,No,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,152II,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,1
Non-Fatal,Destroyed,Airplane,Cessna,A188B,No,1.0,Reciprocating,Part 137: Agricultural,0.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Aeronca,7BCM,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-38-112,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Fatal(1),Destroyed,Airplane,Piper,28-151,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,340A,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,172H,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Mooney,M20C,Yes,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,A185F,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-32-260,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Fatal(1),Destroyed,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Incident,Minor,Airplane,Piper,PA-28R-201T,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,0
Non-Fatal,Destroyed,Airplane,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,4.0,1
Fatal(1),Substantial,Airplane,Cessna,TR182,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Aeronca,7AC,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,177B,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,182L,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Cessna,172P,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Beech,36,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,180K,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Destroyed,Airplane,Beech,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,0.0,5.0,2.0,0.0,1
Non-Fatal,Destroyed,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,1.0,0.0,1
Fatal(2),Destroyed,Airplane,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Bellanca,7ECA,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,TR182,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,P206,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Grumman,1159,No,2.0,Turbo Jet,Part 91: General Aviation,0.0,0.0,0.0,4.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-32,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,1.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,1.0,0.0,0.0,0.0,1
Fatal(2),Destroyed,Airplane,Cessna,150G,No,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
